level,requiredExp
1,100
2,150
3,200
4,250
5,300
6,350
7,400
8,450
9,500
10,550
11,600
12,650
13,700
14,750
15,800
16,850
17,900
18,950
19,1000
20,1050
21,1100
22,1150
23,1200
24,1250
25,1300
26,1350
27,1400
28,1450
29,1500
30,1550
31,1600
32,1650
33,1700
34,1750
35,1800
36,1850
37,1900
38,1950
39,2000
40,2050
41,2100
42,2150
43,2200
44,2250
45,2300
46,2350
47,2400
48,2450
49,2500
50,2550
51,2600
52,2650
53,2700
54,2750
55,2800
56,2850
57,2900
58,2950
59,3000
60,3050
61,3100
62,3150
63,3200
64,3250
65,3300
66,3350
67,3400
68,3450
69,3500
70,3550
71,3600
72,3650
73,3700
74,3750
75,3800
76,3850
77,3900
78,3950
79,4000
80,4050
81,4100
82,4150
83,4200
84,4250
85,4300
86,4350
87,4400
88,4450
89,4500
90,4550
91,4600
92,4650
93,4700
94,4750
95,4800
96,4850
97,4900
98,4950
99,5000
100,5050
